Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S80730722,Canada Goose,Branta canadensis,303,125,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2021-02-09,04:57 PM,eBird - Traveling Count,38,1,.402,,1
S81013611,Canada Goose,Branta canadensis,303,82,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2021-02-12,04:32 PM,eBird - Traveling Count,22,1,.402,,1
S81963007,Canada Goose,Branta canadensis,303,60,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2021-02-19,03:44 PM,eBird - Traveling Count,36,1,.354,,1
S83047079,Canada Goose,Branta canadensis,303,25,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2021-03-08,06:02 PM,eBird - Traveling Count,7,1,.402,,1
S85764475,Canada Goose,Branta canadensis,303,12,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2021-04-17,05:50 PM,eBird - Traveling Count,22,1,.402,,1
S93184938,Canada Goose,Branta canadensis,303,49,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2021-08-13,04:27 PM,eBird - Traveling Count,148,1,2.849,,1
S93581757,Canada Goose,Branta canadensis,303,22,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2021-08-22,09:38 AM,eBird - Traveling Count,15,1,.515,,2
S95561876,Canada Goose,Branta canadensis,303,3,US-IL,Cook,L1057281,Chicago River--Diversey Turning Basin,41.931337,-87.6815844,2021-10-03,05:40 PM,eBird - Traveling Count,15,1,.515,,1
S81955569,Canada Goose,Branta canadensis,303,3,US-IL,Cook,L1138020,Chicago River--North Ave. Turning Basin,41.910198,-87.6579809,2021-02-19,02:46 PM,eBird - Traveling Count,30,1,.322,,1
S99768184,Canada Goose,Branta canadensis,303,800,US-IL,Cook,L108479,"Columbus Park, Chicago",41.8751829,-87.7698144,2021-12-31,01:15 PM,eBird - Traveling Count,36,1,1.448,,1
S85158460,Canada Goose,Branta canadensis,303,11,US-IL,Cook,L152623,Crabtree Nature Center,42.114,-88.161,2021-04-09,08:18 AM,eBird - Traveling Count,155,1,2.897,,15,,,With Justin's guided bird walk
S85166002,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L152623,Crabtree Nature Center,42.114,-88.161,2021-04-09,10:53 AM,eBird - Traveling Count,100,1,4.12,,1
S82883851,Canada Goose,Branta canadensis,303,25,US-IL,Cook,L5384646,Dam No. 1 Woods FP--East,42.1367408,-87.8999977,2021-03-06,02:14 PM,eBird - Stationary Count,10,1,,,1
S82892521,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L5384646,Dam No. 1 Woods FP--East,42.1367408,-87.8999977,2021-03-06,02:22 PM,eBird - Traveling Count,90,1,4.828,,1
S87544677,Canada Goose,Branta canadensis,303,10,US-IL,Cook,L4384752,Forest Glen Woods Forest Preserve,41.9827261,-87.755549,2021-05-08,04:36 PM,eBird - Traveling Count,115,1,1.722,,1
S85803427,Canada Goose,Branta canadensis,303,2,US-IL,Cook,L265942,"Jackson Park, Chicago",41.781201,-87.5813341,2021-04-18,09:09 AM,eBird - Traveling Count,27,1,.547,,2
S85800567,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",41.7857131,-87.5829649,2021-04-18,08:22 AM,eBird - Traveling Count,46,1,1.127,,2
S85807586,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",41.7857131,-87.5829649,2021-04-18,09:38 AM,eBird - Traveling Count,39,1,1.046,,2
S92280166,Canada Goose,Branta canadensis,303,3,US-IL,Cook,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",41.7857131,-87.5829649,2021-07-25,09:20 AM,eBird - Traveling Count,92,1,2.511,,1
S85491124,Canada Goose,Branta canadensis,303,5,US-IL,Cook,L105600,LaBagh Woods Forest Preserve,41.9803903,-87.7412754,2021-04-13,04:50 PM,eBird - Traveling Count,137,1,3.814,,2
S87211365,Canada Goose,Branta canadensis,303,8,US-IL,Cook,L105600,LaBagh Woods Forest Preserve,41.9803903,-87.7412754,2021-05-05,04:54 PM,eBird - Traveling Count,151,1,3.621,,1
S99714930,Canada Goose,Branta canadensis,303,2,US-IL,Cook,L105600,LaBagh Woods Forest Preserve,41.9803903,-87.7412754,2021-12-30,03:06 PM,eBird - Traveling Count,75,1,1.963,,1
S84597018,Canada Goose,Branta canadensis,303,68,US-IL,Cook,L152691,"Lincoln Park, Chicago--North Pond",41.9283,-87.637,2021-04-02,08:30 AM,eBird - Traveling Count,101,1,1.915,,1
S99742803,Canada Goose,Branta canadensis,303,79,US-IL,Cook,L152691,"Lincoln Park, Chicago--North Pond",41.9283,-87.637,2021-12-31,07:32 AM,eBird - Traveling Count,47,1,1.674,,1
S84587695,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L950064,"Lincoln Park, Chicago--South Pond",41.9173515,-87.6329613,2021-04-02,07:40 AM,eBird - Traveling Count,15,1,.322,,1
S89215014,Canada Goose,Branta canadensis,303,125,US-IL,Cook,L950064,"Lincoln Park, Chicago--South Pond",41.9173515,-87.6329613,2021-05-29,01:03 PM,eBird - Traveling Count,38,1,.724,,1,FL Recently Fledged Young
S79820103,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L2057479,"Montrose Harbor, Chicago",41.9614367,-87.6386046,2021-01-24,07:04 AM,eBird - Traveling Count,188,1,3.782,,1
S81002131,Canada Goose,Branta canadensis,303,40,US-IL,Cook,L2057479,"Montrose Harbor, Chicago",41.9614367,-87.6386046,2021-02-12,03:53 PM,eBird - Stationary Count,60,1,,,1
S83241720,Canada Goose,Branta canadensis,303,26,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-03-12,07:27 AM,eBird - Traveling Count,112,1,4.796,,1
S85644295,Canada Goose,Branta canadensis,303,9,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-04-16,06:59 AM,eBird - Traveling Count,98,1,.805,,1
S86166913,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-04-23,09:53 AM,eBird - Traveling Count,141,1,2.655,,1
S86316239,Canada Goose,Branta canadensis,303,2,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-04-25,06:10 AM,eBird - Traveling Count,113,1,1.979,,1
S86533573,Canada Goose,Branta canadensis,303,7,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-04-27,06:42 PM,eBird - Traveling Count,47,1,1.191,,1
S86718831,Canada Goose,Branta canadensis,303,20,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-04-30,06:04 AM,eBird - Traveling Count,232,1,3.75,,1,,7 chicks,,332937781
S87732030,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-05-10,07:30 AM,eBird - Traveling Count,167,1,3.364,,1
S88176451,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-05-15,08:19 AM,eBird - Traveling Count,164,1,3.364,,1
S88370195,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-05-17,05:28 AM,eBird - Traveling Count,200,1,2.832,,1
S88894013,Canada Goose,Branta canadensis,303,X,US-IL,Cook,L161180,"Montrose Point, Lincoln Park, Chicago",41.9633833,-87.6344204,2021-05-24,05:28 AM,eBird - Traveling Count,256,1,3.83,,1
